USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
39620,99999,2010-01-01,00:00,52.7,-8.917,20,350,99999,20000,-3.1,-4.2,1009.8
39620,99999,2010-01-01,00:30,52.7,-8.917,20,230,99999,9900,-3.0,-4.0,9999.9
39620,99999,2010-01-01,01:00,52.7,-8.917,20,290,99999,20000,-3.3,-4.1,1009.8
39620,99999,2010-01-01,01:30,52.7,-8.917,20,290,99999,9900,-3.0,-4.0,9999.9
39620,99999,2010-01-01,02:00,52.7,-8.917,20,20,99999,20000,-2.8,-3.5,1009.6
39620,99999,2010-01-01,02:30,52.7,-8.917,20,320,22000,11265,-3.0,-4.0,9999.9
39620,99999,2010-01-01,03:00,52.7,-8.917,20,320,780,20000,-2.5,-3.1,1009.9
39620,99999,2010-01-01,03:30,52.7,-8.917,20,330,22000,11265,-2.0,-3.0,9999.9
39620,99999,2010-01-01,04:00,52.7,-8.917,20,320,22000,20000,-3.0,-3.6,1009.9
39620,99999,2010-01-01,04:30,52.7,-8.917,20,350,99999,9900,-3.0,-4.0,9999.9
39620,99999,2010-01-01,05:00,52.7,-8.917,20,20,99999,20000,-3.5,-4.0,1009.9
39620,99999,2010-01-01,05:30,52.7,-8.917,20,290,99999,9900,-4.0,-4.0,9999.9
39620,99999,2010-01-01,06:00,52.7,-8.917,20,320,99999,20000,-4.0,-4.4,1010.1
39620,99999,2010-01-01,06:30,52.7,-8.917,20,350,99999,9900,-4.0,-5.0,9999.9
39620,99999,2010-01-01,07:00,52.7,-8.917,20,350,99999,20000,-4.2,-4.5,1010.3
39620,99999,2010-01-01,07:30,52.7,-8.917,20,350,99999,9900,-4.0,-5.0,9999.9
39620,99999,2010-01-01,08:00,52.7,-8.917,20,90,99999,20000,-4.6,-4.9,1010.6
39620,99999,2010-01-01,08:30,52.7,-8.917,20,999,22000,11265,-5.0,-5.0,9999.9
39620,99999,2010-01-01,09:00,52.7,-8.917,20,999,22000,20000,-4.2,-4.5,1011.2
39620,99999,2010-01-01,09:30,52.7,-8.917,20,330,22000,11265,-4.0,-5.0,9999.9
