USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
039620,99999,20140101,0000,+52700,-008917,+0020,150,99999,020000,+0051,+0030,09893
039620,99999,20140101,0000,+52702,-008925,+0014,150,99999,009999,+0050,+0030,99999
039620,99999,20140101,0030,+52702,-008925,+0014,120,99999,009999,+0040,+0030,99999
039620,99999,20140101,0100,+52700,-008917,+0020,140,99999,020000,+0038,+0027,09890
039620,99999,20140101,0100,+52702,-008925,+0014,140,01311,009999,+0040,+0030,99999
039620,99999,20140101,0130,+52702,-008925,+0014,150,01311,009999,+0050,+0030,99999
039620,99999,20140101,0200,+52700,-008917,+0020,140,99999,020000,+0042,+0027,09880
039620,99999,20140101,0200,+52702,-008925,+0014,140,01311,009999,+0040,+0030,99999
039620,99999,20140101,0230,+52702,-008925,+0014,140,01311,009999,+0040,+0030,99999
039620,99999,20140101,0300,+52700,-008917,+0020,140,99999,020000,+0044,+0031,09870
039620,99999,20140101,0300,+52702,-008925,+0014,140,01311,009999,+0040,+0030,99999
039620,99999,20140101,0330,+52702,-008925,+0014,130,01311,009999,+0050,+0040,99999
039620,99999,20140101,0400,+52700,-008917,+0020,120,03600,020000,+0049,+0038,09852
039620,99999,20140101,0400,+52702,-008925,+0014,120,01311,009999,+0050,+0040,99999
039620,99999,20140101,0430,+52702,-008925,+0014,090,03353,009999,+0050,+0040,99999
039620,99999,20140101,0500,+52700,-008917,+0020,100,01500,020000,+0056,+0044,09831
039620,99999,20140101,0500,+52702,-008925,+0014,100,01524,009999,+0060,+0040,99999
039620,99999,20140101,0530,+52702,-008925,+0014,100,01524,009999,+0060,+0050,99999
039620,99999,20140101,0600,+52700,-008917,+0020,100,01800,020000,+0062,+0050,09808
039620,99999,20140101,0600,+52702,-008925,+0014,100,01829,009999,+0060,+0050,99999
039620,99999,20140101,0630,+52702,-008925,+0014,100,00549,008000,+0070,+0060,99999
039620,99999,20140101,0700,+52700,-008917,+0020,100,00480,010000,+0069,+0057,09786
039620,99999,20140101,0700,+52702,-008925,+0014,100,00488,009999,+0070,+0060,99999
039620,99999,20140101,0730,+52702,-008925,+0014,100,00549,009999,+0070,+0050,99999
039620,99999,20140101,0800,+52700,-008917,+0020,090,00450,015000,+0065,+0052,09762
