USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
723445,93993,20140101,0053,+36010,-094169,+0384,999,22000,016093,+0022,-0050,10245
723445,93993,20140101,0153,+36010,-094169,+0384,180,22000,016093,+0039,-0050,10241
723445,93993,20140101,0253,+36010,-094169,+0384,180,22000,016093,+0039,-0050,10239
723445,93993,20140101,0353,+36010,-094169,+0384,190,22000,016093,+0039,-0056,10231
723445,93993,20140101,0453,+36010,-094169,+0384,190,22000,016093,+0033,-0056,10225
723445,93993,20140101,0553,+36010,-094169,+0384,190,22000,016093,+0028,-0050,10217
723445,93993,20140101,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20140101,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20140101,0653,+36010,-094169,+0384,999,22000,016093,+0028,-0050,10215
723445,93993,20140101,0753,+36010,-094169,+0384,170,22000,016093,+0017,-0044,10212
723445,93993,20140101,0853,+36010,-094169,+0384,999,22000,016093,+0006,-0044,10206
723445,93993,20140101,0953,+36010,-094169,+0384,999,22000,016093,+0028,-0044,10197
723445,93993,20140101,1053,+36010,-094169,+0384,200,22000,016093,+0022,-0050,10190
723445,93993,20140101,1153,+36010,-094169,+0384,210,22000,016093,+0028,-0061,10186
723445,93993,20140101,1253,+36010,-094169,+0384,210,22000,016093,+0022,-0061,10188
723445,93993,20140101,1353,+36010,-094169,+0384,210,22000,016093,+0022,-0067,10187
723445,93993,20140101,1453,+36010,-094169,+0384,190,22000,016093,+0050,-0061,10186
723445,93993,20140101,1553,+36010,-094169,+0384,160,22000,016093,+0078,-0050,10179
723445,93993,20140101,1653,+36010,-094169,+0384,180,22000,016093,+0100,-0044,10171
723445,93993,20140101,1753,+36010,-094169,+0384,180,22000,016093,+0106,-0028,10156
723445,93993,20140101,1853,+36010,-094169,+0384,180,22000,016093,+0117,-0006,10136
723445,93993,20140101,1953,+36010,-094169,+0384,160,22000,016093,+0106,+0000,10126
723445,93993,20140101,2053,+36010,-094169,+0384,150,22000,016093,+0100,-0006,10123
723445,93993,20140101,2153,+36010,-094169,+0384,190,22000,016093,+0100,+0000,10128
723445,93993,20140101,2253,+36010,-094169,+0384,260,01433,016093,+0094,+0000,10136
723445,93993,20140101,2353,+36010,-094169,+0384,999,01494,016093,+0083,+0006,10142
723445,93993,20140102,0053,+36010,-094169,+0384,300,01372,016093,+0083,+0006,10147
723445,93993,20140102,0153,+36010,-094169,+0384,330,01433,016093,+0072,+0000,10152
723445,93993,20140102,0253,+36010,-094169,+0384,330,01433,016093,+0044,-0028,10170
723445,93993,20140102,0353,+36010,-094169,+0384,340,01372,016093,+0000,-0039,10184
723445,93993,20140102,0453,+36010,-094169,+0384,350,01189,016093,-0022,-0056,10196
723445,93993,20140102,0511,+36010,-094169,+0384,330,00518,016093,-0030,-0060,99999
723445,93993,20140102,0551,+36010,-094169,+0384,330,00396,012875,-0040,-0070,99999
723445,93993,20140102,0553,+36010,-094169,+0384,330,00396,012875,-0039,-0067,10205
723445,93993,20140102,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20140102,0608,+36010,-094169,+0384,340,00457,014484,-0040,-0070,99999
723445,93993,20140102,0638,+36010,-094169,+0384,999,00396,006437,-0040,-0070,99999
723445,93993,20140102,0653,+36010,-094169,+0384,340,00396,006437,-0050,-0078,10216
723445,93993,20140102,0714,+36010,-094169,+0384,330,00396,003219,-0060,-0080,99999
723445,93993,20140102,0723,+36010,-094169,+0384,340,00396,002414,-0060,-0090,99999
723445,93993,20140102,0733,+36010,-094169,+0384,340,00549,002414,-0070,-0090,99999
723445,93993,20140102,0741,+36010,-094169,+0384,340,00732,004828,-0070,-0090,99999
723445,93993,20140102,0751,+36010,-094169,+0384,340,00914,006437,-0070,-0090,99999
723445,93993,20140102,0753,+36010,-094169,+0384,340,00975,006437,-0067,-0094,10227
723445,93993,20140102,0810,+36010,-094169,+0384,340,00396,009656,-0070,-0090,99999
723445,93993,20140102,0853,+36010,-094169,+0384,330,00396,016093,-0078,-0106,10242
723445,93993,20140102,0900,+36010,-094169,+0384,320,00457,014484,-0080,-0110,99999
723445,93993,20140102,0953,+36010,-094169,+0384,340,00457,016093,-0089,-0117,10254
723445,93993,20140102,1019,+36010,-094169,+0384,320,00396,011265,-0090,-0120,99999
723445,93993,20140102,1053,+36010,-094169,+0384,330,00396,009656,-0100,-0122,10262
723445,93993,20140102,1114,+36010,-094169,+0384,330,00457,009656,-0100,-0130,99999
723445,93993,20140102,1153,+36010,-094169,+0384,330,00457,014484,-0100,-0128,10270
723445,93993,20140102,1237,+36010,-094169,+0384,340,00396,016093,-0110,-0130,99999
