USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
727475,04940,MORA MUNICIPAL AIRPORT,US,MN,KJMR,+45.886,-093.272,+0308.5,20060101,20240405
727476,94961,BAUDETTE INTERNATIONAL APT,US,MN,KBDE,+48.726,-094.612,+0329.8,19831104,20240405
727477,04970,ROSEAU MUNI/RUDY BILLBERG FLD ARPT,US,MN,KROX,+48.856,-095.697,+0322.8,20060101,20240405
727478,04934,HALLOCK MUNICIPAL AIRPORT,US,MN,KHCO,+48.753,-096.943,+0249.6,20060101,20240405
727486,04983,WASKISH MUNICIPAL AIRPORT,US,MN,KVWU,+48.154,-094.517,+0360.0,20060101,20240405
727497,04984,LONGVILLE MUNICIPAL ARPT,US,MN,KXVG,+46.990,-094.204,+0406.6,20060101,20240405
727503,04909,CAMBRIDGE MUNICIPAL ARPT,US,MN,KCBG,+45.559,-093.265,+0288.0,20060101,20240405
727504,94999,ATKN MUNI-S KURTZ FLD ARPT,US,MN,KAIT,+46.548,-093.677,+0367.0,20060101,20240405
727505,04929,FOSSTON MUNICIPAL AIRPORT,US,MN,KFSE,+47.593,-095.775,+0389.2,20060101,20240405
727506,04952,WINDOM MUNICIPAL AIRPORT,US,MN,KMWM,+43.913,-095.109,+0429.8,20060101,20240405
727507,54904,BENSON MUNICIPAL AIRPORT,US,MN,KBBB,+45.332,-095.651,+0316.7,20060101,20240405
727508,54915,PINE RIVER REGIONAL AIRPORT,US,MN,KPWC,+46.725,-094.382,+0394.7,20060101,20240406
727514,54910,STAPLES MUNICIPAL AIRPORT,US,MN,KSAZ,+46.381,-094.806,+0392.3,20060101,20240405
727515,04982,ORTHONVILLE MUNI-MARTINSON FIELD AIRPORT,US,MN,KVVV,+45.306,-096.424,+0335.3,20060101,20240405
727517,04932,GLENCOE MUNICIPAL AIRPORT,US,MN,KGYL,+44.756,-094.081,+0302.4,20060101,20240405
727530,14914,HECTOR INTERNATIONAL AIRPORT,US,ND,KFAR,+46.924,-096.812,+0272.8,19480101,20240405
727533,04922,WHEATON MUNICIPAL AIRPORT,US,MN,KETH,+45.780,-096.545,+0312.4,20060101,20240405
727535,14919,JAMESTOWN REGIONAL AIRPORT,US,ND,KJMS,+46.926,-098.670,+0455.7,19730101,20240405
727550,14958,BEMIDJI-BELTRAMI CO ARPT,US,MN,KBJI,+47.500,-094.933,+0424.3,20060101,20240405
727555,94956,THIEF RIVER FALLS RGNL APT,US,MN,KTVF,+48.067,-096.183,+0339.9,20060101,20240405
727566,04902,AUSTIN MUNICIPAL AIRPORT,US,MN,KAUM,+43.665,-092.933,+0375.8,20060101,20240405
727570,14916,GRAND FORKS INTERNATIONAL AIRPORT,US,ND,KGFK,+47.943,-097.183,+0255.6,20100801,20240405
727573,94928,DEVILS LAKE MUNI AIRPORT,US,ND,KDVL,+48.117,-098.900,+0439.2,20060101,20240405
727575,94925,GRAND FORKS AFB AIRPORT,US,ND,KRDR,+47.967,-097.400,+0278.3,19590303,20240405
727584,94038,HETTINGER MUNICIPAL ARPT,US,ND,KHEI,+46.011,-102.652,+0823.2,20060101,20240405
727630,24012,DICKINSON THEODORE ROOSEVELT RGNL ARPT,US,ND,KDIK,+46.800,-102.797,+0787.4,20050101,20240405
727640,24011,BISMARCK MUNICIPAL AIRPORT,US,ND,KBIS,+46.782,-100.758,+0503.2,19360701,20240405
727675,94011,MINOT AFB AIRPORT,US,ND,KMIB,+48.417,-101.350,+0508.1,19591001,20240405
727676,24013,MINOT INTERNATIONAL ARPT,US,ND,KMOT,+48.252,-101.269,+0505.2,19730101,20240405
727677,94041,GARRISON,US,ND,KN60,+47.646,-101.441,+0582.0,20060101,20240405
727680,94008,WOKAL FIELD/GLASGOW INTL AIRPORT,US,MT,KGGW,+48.214,-106.621,+0697.8,19421210,20240405
727684,94051,JORDAN AIRPORT,US,MT,KJDN,+47.326,-106.949,+0801.0,20060101,20240405
727686,94017,L M CLAYTON AIRPORT,US,MT,KOLF,+48.094,-105.578,+0604.7,20060101,20240405
