USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
527870,99999,20150101,0000,+37200,+102867,+3044,160,99999,030000,-0120,-0260,99999
527870,99999,20150101,0300,+37200,+102867,+3044,160,99999,030000,-0046,-0273,99999
527870,99999,20150101,0600,+37200,+102867,+3044,160,99999,030000,-0014,-0291,99999
527870,99999,20150101,0900,+37200,+102867,+3044,320,99999,030000,-0057,-0230,99999
527870,99999,20150101,1200,+37200,+102867,+3044,160,99999,030000,-0086,-0255,99999
527870,99999,20150101,1800,+37200,+102867,+3044,160,00240,030000,-0107,-0225,99999
527870,99999,20150101,2100,+37200,+102867,+3044,290,00240,030000,-0062,-0221,99999
527870,99999,20150102,0000,+37200,+102867,+3044,320,99999,030000,-0075,-0228,99999
527870,99999,20150102,0300,+37200,+102867,+3044,290,99999,028000,+0014,-0232,99999
527870,99999,20150102,0600,+37200,+102867,+3044,270,99999,029000,+0038,-0262,99999
527870,99999,20150102,0900,+37200,+102867,+3044,290,99999,030000,+0014,-0232,99999
527870,99999,20150102,1200,+37200,+102867,+3044,320,99999,030000,-0043,-0244,99999
527870,99999,20150102,1800,+37200,+102867,+3044,160,00240,030000,-0047,-0242,99999
527870,99999,20150102,2100,+37200,+102867,+3044,290,00240,030000,-0007,-0285,99999
527870,99999,20150103,0000,+37200,+102867,+3044,070,99999,030000,-0021,-0286,99999
527870,99999,20150103,0300,+37200,+102867,+3044,160,99999,025000,+0044,-0270,99999
527870,99999,20150103,0600,+37200,+102867,+3044,160,99999,023000,+0065,-0286,99999
527870,99999,20150103,0900,+37200,+102867,+3044,160,99999,013000,+0053,-0239,99999
527870,99999,20150103,1200,+37200,+102867,+3044,140,99999,028000,+0008,-0221,99999
527870,99999,20150103,1800,+37200,+102867,+3044,140,00240,030000,-0015,-0204,99999
527870,99999,20150103,2100,+37200,+102867,+3044,320,00240,030000,-0090,-0195,99999
527870,99999,20150104,0000,+37200,+102867,+3044,290,99999,030000,-0134,-0202,99999
527870,99999,20150104,0300,+37200,+102867,+3044,360,99999,030000,-0064,-0223,99999
527870,99999,20150104,0600,+37200,+102867,+3044,360,99999,030000,-0048,-0213,99999
527870,99999,20150104,0900,+37200,+102867,+3044,360,99999,030000,-0065,-0232,99999
527870,99999,20150104,1200,+37200,+102867,+3044,360,99999,030000,-0074,-0209,99999
527870,99999,20150104,1800,+37200,+102867,+3044,340,00240,030000,-0084,-0149,99999
527870,99999,20150104,2100,+37200,+102867,+3044,360,00240,030000,-0102,-0195,99999
527870,99999,20150105,0000,+37200,+102867,+3044,340,99999,030000,-0120,-0220,99999
527870,99999,20150105,0300,+37200,+102867,+3044,320,99999,030000,-0108,-0209,99999
527870,99999,20150105,0600,+37200,+102867,+3044,340,99999,030000,-0077,-0189,99999
527870,99999,20150105,0900,+37200,+102867,+3044,160,99999,030000,-0084,-0184,99999
527870,99999,20150105,1200,+37200,+102867,+3044,160,99999,030000,-0102,-0172,99999
527870,99999,20150105,1800,+37200,+102867,+3044,160,00240,030000,-0111,-0176,99999
527870,99999,20150105,2100,+37200,+102867,+3044,180,00240,030000,-0097,-0167,99999
527870,99999,20150106,0000,+37200,+102867,+3044,140,99999,030000,-0106,-0124,99999
527870,99999,20150106,0300,+37200,+102867,+3044,340,99999,030000,-0076,-0100,99999
527870,99999,20150106,0600,+37200,+102867,+3044,360,99999,030000,-0070,-0101,99999
527870,99999,20150106,0900,+37200,+102867,+3044,340,99999,030000,-0067,-0110,99999
527870,99999,20150106,1200,+37200,+102867,+3044,290,99999,030000,-0095,-0144,99999
527870,99999,20150106,1800,+37200,+102867,+3044,320,00240,030000,-0101,-0233,99999
527870,99999,20150106,2100,+37200,+102867,+3044,320,00240,030000,-0167,-0198,99999
527870,99999,20150107,0000,+37200,+102867,+3044,290,99999,030000,-0163,-0184,99999
527870,99999,20150107,0300,+37200,+102867,+3044,360,99999,030000,-0124,-0146,99999
527870,99999,20150107,0600,+37200,+102867,+3044,340,99999,030000,-0076,-0179,99999
527870,99999,20150107,0900,+37200,+102867,+3044,340,99999,030000,-0091,-0183,99999
527870,99999,20150107,1200,+37200,+102867,+3044,070,99999,030000,-0112,-0195,99999
527870,99999,20150107,1800,+37200,+102867,+3044,040,00240,030000,-0114,-0173,99999
527870,99999,20150107,2100,+37200,+102867,+3044,200,00240,030000,-0115,-0174,99999
527870,99999,20150108,0000,+37200,+102867,+3044,180,99999,030000,-0142,-0189,99999
527870,99999,20150108,0300,+37200,+102867,+3044,140,99999,030000,-0089,-0167,99999
527870,99999,20150108,0600,+37200,+102867,+3044,200,99999,030000,-0039,-0210,99999
527870,99999,20150108,0900,+37200,+102867,+3044,320,99999,030000,-0048,-0249,99999
527870,99999,20150108,1200,+37200,+102867,+3044,140,99999,030000,-0105,-0211,99999
527870,99999,20150108,1800,+37200,+102867,+3044,340,00240,030000,-0127,-0218,99999
527870,99999,20150108,2100,+37200,+102867,+3044,140,00240,030000,-0138,-0231,99999
527870,99999,20150109,0000,+37200,+102867,+3044,270,99999,030000,-0116,-0260,99999
527870,99999,20150109,0300,+37200,+102867,+3044,290,99999,030000,-0068,-0260,99999
527870,99999,20150109,0600,+37200,+102867,+3044,270,99999,030000,-0044,-0287,99999
527870,99999,20150109,0900,+37200,+102867,+3044,340,99999,030000,-0042,-0277,99999
527870,99999,20150109,1200,+37200,+102867,+3044,250,99999,030000,-0083,-0284,99999
527870,99999,20150109,1800,+37200,+102867,+3044,360,00240,030000,-0064,-0288,99999
527870,99999,20150109,2100,+37200,+102867,+3044,290,00240,030000,-0058,-0283,99999
527870,99999,20150110,0000,+37200,+102867,+3044,360,99999,030000,-0068,-0284,99999
527870,99999,20150110,0300,+37200,+102867,+3044,340,99999,030000,-0012,-0279,99999
527870,99999,20150110,0600,+37200,+102867,+3044,360,99999,030000,+0009,-0284,99999
527870,99999,20150110,0900,+37200,+102867,+3044,360,99999,030000,-0011,-0260,99999
527870,99999,20150110,1200,+37200,+102867,+3044,140,99999,030000,-0070,-0273,99999
527870,99999,20150110,1800,+37200,+102867,+3044,140,00240,030000,-0091,-0274,99999
527870,99999,20150110,2100,+37200,+102867,+3044,140,00240,030000,-0070,-0308,99999
527870,99999,20150111,0000,+37200,+102867,+3044,180,99999,030000,-0063,-0287,99999
527870,99999,20150111,0300,+37200,+102867,+3044,160,99999,030000,-0023,-0270,99999
527870,99999,20150111,0600,+37200,+102867,+3044,160,99999,030000,+0007,-0275,99999
527870,99999,20150111,0900,+37200,+102867,+3044,360,99999,030000,-0020,-0296,99999
527870,99999,20150111,1200,+37200,+102867,+3044,340,99999,030000,-0074,-0282,99999
527870,99999,20150111,1800,+37200,+102867,+3044,340,00240,030000,-0066,-0270,99999
527870,99999,20150111,2100,+37200,+102867,+3044,140,00240,030000,-0066,-0270,99999
527870,99999,20150112,0000,+37200,+102867,+3044,250,99999,030000,-0063,-0273,99999
527870,99999,20150112,0300,+37200,+102867,+3044,250,99999,030000,-0012,-0253,99999
527870,99999,20150112,0600,+37200,+102867,+3044,250,99999,030000,+0011,-0261,99999
527870,99999,20150112,0900,+37200,+102867,+3044,290,99999,030000,+0009,-0253,99999
527870,99999,20150112,1200,+37200,+102867,+3044,340,99999,030000,-0041,-0237,99999
527870,99999,20150112,1800,+37200,+102867,+3044,340,00240,030000,-0054,-0248,99999
527870,99999,20150112,2100,+37200,+102867,+3044,270,00240,030000,-0051,-0245,99999
527870,99999,20150113,0000,+37200,+102867,+3044,160,99999,030000,-0066,-0243,99999
