USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
723445,93993,20160101,0000,+36010,-094169,+0381,999,99999,999999,+9999,+9999,99999
723445,93993,20160101,0053,+36010,-094169,+0384,340,22000,016093,+0011,-0017,10307
723445,93993,20160101,0153,+36010,-094169,+0384,360,22000,016093,+0011,-0022,10313
723445,93993,20160101,0253,+36010,-094169,+0384,350,22000,016093,+0006,-0022,10314
723445,93993,20160101,0353,+36010,-094169,+0384,010,22000,016093,+0006,-0028,10315
723445,93993,20160101,0453,+36010,-094169,+0384,350,22000,016093,-0006,-0028,10319
723445,93993,20160101,0553,+36010,-094169,+0384,999,22000,016093,-0011,-0028,10317
723445,93993,20160101,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20160101,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20160101,0653,+36010,-094169,+0384,999,22000,016093,-0022,-0028,10320
723445,93993,20160101,0753,+36010,-094169,+0384,999,22000,012875,-0028,-0033,10322
723445,93993,20160101,0853,+36010,-094169,+0384,999,22000,009656,-0039,-0044,10325
723445,93993,20160101,0953,+36010,-094169,+0384,999,22000,011265,-0044,-0044,10329
723445,93993,20160101,1053,+36010,-094169,+0384,999,22000,011265,-0044,-0050,10327
723445,93993,20160101,1153,+36010,-094169,+0384,999,22000,011265,-0050,-0056,10332
723445,93993,20160101,1253,+36010,-094169,+0384,999,22000,011265,-0056,-0056,10337
723445,93993,20160101,1353,+36010,-094169,+0384,999,22000,008047,-0061,-0067,10337
723445,93993,20160101,1453,+36010,-094169,+0384,999,22000,008047,-0039,-0039,10342
723445,93993,20160101,1553,+36010,-094169,+0384,999,22000,016093,+0000,-0028,10343
723445,93993,20160101,1653,+36010,-094169,+0384,330,22000,016093,+0022,-0044,10342
723445,93993,20160101,1753,+36010,-094169,+0384,340,22000,016093,+0033,-0039,10337
723445,93993,20160101,1853,+36010,-094169,+0384,320,22000,016093,+0044,-0044,10325
723445,93993,20160101,1953,+36010,-094169,+0384,999,22000,016093,+0044,-0044,10317
723445,93993,20160101,2053,+36010,-094169,+0384,350,22000,016093,+0056,-0044,10310
723445,93993,20160101,2153,+36010,-094169,+0384,300,22000,016093,+0050,-0056,10309
723445,93993,20160101,2253,+36010,-094169,+0384,320,22000,016093,+0028,-0056,10311
723445,93993,20160101,2353,+36010,-094169,+0384,280,22000,016093,-0017,-0044,10315
723445,93993,20160102,0000,+36010,-094169,+0381,999,99999,999999,+9999,+9999,99999
723445,93993,20160102,0053,+36010,-094169,+0384,180,22000,016093,-0022,-0044,10319
723445,93993,20160102,0153,+36010,-094169,+0384,190,22000,016093,-0039,-0050,10326
723445,93993,20160102,0253,+36010,-094169,+0384,170,22000,016093,-0039,-0050,10323
723445,93993,20160102,0353,+36010,-094169,+0384,180,22000,016093,-0044,-0056,10316
723445,93993,20160102,0453,+36010,-094169,+0384,999,22000,016093,-0044,-0056,10313
723445,93993,20160102,0553,+36010,-094169,+0384,999,22000,016093,-0056,-0061,10313
723445,93993,20160102,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20160102,0653,+36010,-094169,+0384,999,22000,016093,-0050,-0056,10306
723445,93993,20160102,0753,+36010,-094169,+0384,999,22000,016093,-0056,-0061,10300
723445,93993,20160102,0853,+36010,-094169,+0384,190,22000,016093,-0056,-0067,10300
723445,93993,20160102,0953,+36010,-094169,+0384,999,22000,016093,-0061,-0067,10302
723445,93993,20160102,1053,+36010,-094169,+0384,999,22000,016093,-0061,-0072,10301
723445,93993,20160102,1153,+36010,-094169,+0384,190,22000,016093,-0061,-0067,10301
723445,93993,20160102,1253,+36010,-094169,+0384,999,22000,016093,-0067,-0072,10299
723445,93993,20160102,1353,+36010,-094169,+0384,999,22000,016093,-0067,-0072,10303
723445,93993,20160102,1453,+36010,-094169,+0384,170,22000,016093,-0033,-0044,10302
723445,93993,20160102,1553,+36010,-094169,+0384,180,22000,016093,+0017,-0011,10297
723445,93993,20160102,1653,+36010,-094169,+0384,999,22000,016093,+0061,-0028,10292
723445,93993,20160102,1753,+36010,-094169,+0384,280,22000,016093,+0078,-0039,10281
723445,93993,20160102,1853,+36010,-094169,+0384,220,22000,016093,+0078,-0044,10267
723445,93993,20160102,1953,+36010,-094169,+0384,260,22000,016093,+0083,-0039,10254
723445,93993,20160102,2053,+36010,-094169,+0384,240,22000,016093,+0083,-0033,10248
723445,93993,20160102,2153,+36010,-094169,+0384,250,22000,016093,+0083,-0033,10246
723445,93993,20160102,2253,+36010,-094169,+0384,270,22000,016093,+0072,-0033,10243
723445,93993,20160102,2353,+36010,-094169,+0384,220,22000,016093,+0044,-0028,10242
723445,93993,20160103,0000,+36010,-094169,+0381,999,99999,999999,+9999,+9999,99999
723445,93993,20160103,0053,+36010,-094169,+0384,999,22000,016093,+0011,-0022,10250
723445,93993,20160103,0153,+36010,-094169,+0384,999,22000,016093,-0006,-0022,10249
723445,93993,20160103,0253,+36010,-094169,+0384,999,22000,016093,-0011,-0022,10246
723445,93993,20160103,0353,+36010,-094169,+0384,999,22000,016093,-0017,-0028,10244
723445,93993,20160103,0453,+36010,-094169,+0384,999,22000,016093,-0022,-0033,10239
723445,93993,20160103,0553,+36010,-094169,+0384,220,22000,016093,-0033,-0044,10238
723445,93993,20160103,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20160103,0653,+36010,-094169,+0384,999,22000,016093,-0017,-0033,10237
723445,93993,20160103,0753,+36010,-094169,+0384,180,22000,016093,-0033,-0039,10234
723445,93993,20160103,0853,+36010,-094169,+0384,999,22000,016093,-0028,-0039,10233
723445,93993,20160103,0953,+36010,-094169,+0384,190,22000,016093,-0039,-0044,10232
723445,93993,20160103,1053,+36010,-094169,+0384,999,02743,016093,-0039,-0039,10231
723445,93993,20160103,1153,+36010,-094169,+0384,999,22000,016093,-0039,-0044,10234
723445,93993,20160103,1253,+36010,-094169,+0384,999,22000,016093,-0050,-0056,10240
723445,93993,20160103,1353,+36010,-094169,+0384,999,22000,014484,-0056,-0056,10242
723445,93993,20160103,1453,+36010,-094169,+0384,999,22000,016093,-0017,-0022,10244
723445,93993,20160103,1553,+36010,-094169,+0384,999,22000,016093,+0028,-0011,10247
723445,93993,20160103,1653,+36010,-094169,+0384,360,22000,016093,+0056,-0017,10246
723445,93993,20160103,1753,+36010,-094169,+0384,320,22000,016093,+0072,-0022,10239
723445,93993,20160103,1853,+36010,-094169,+0384,310,22000,016093,+0078,-0022,10235
723445,93993,20160103,1953,+36010,-094169,+0384,340,22000,016093,+0083,-0028,10233
723445,93993,20160103,2053,+36010,-094169,+0384,350,22000,016093,+0083,-0028,10235
723445,93993,20160103,2153,+36010,-094169,+0384,350,22000,016093,+0083,-0033,10237
723445,93993,20160103,2253,+36010,-094169,+0384,360,22000,016093,+0067,-0028,10245
723445,93993,20160103,2353,+36010,-094169,+0384,360,22000,016093,+0044,-0033,10251
723445,93993,20160104,0000,+36010,-094169,+0381,999,99999,999999,+9999,+9999,99999
723445,93993,20160104,0053,+36010,-094169,+0384,350,22000,016093,+0033,-0028,10260
723445,93993,20160104,0153,+36010,-094169,+0384,350,22000,016093,+0022,-0022,10269
723445,93993,20160104,0253,+36010,-094169,+0384,010,22000,016093,+0017,-0028,10269
723445,93993,20160104,0353,+36010,-094169,+0384,020,22000,016093,+0006,-0028,10273
723445,93993,20160104,0453,+36010,-094169,+0384,050,22000,016093,-0006,-0033,10276
723445,93993,20160104,0553,+36010,-094169,+0384,999,22000,016093,-0022,-0044,10275
723445,93993,20160104,0559,+36010,-094169,+0384,999,99999,999999,+9999,+9999,99999
723445,93993,20160104,0653,+36010,-094169,+0384,999,22000,016093,-0044,-0050,10274
723445,93993,20160104,0753,+36010,-094169,+0384,999,22000,016093,-0056,-0056,10272
723445,93993,20160104,0853,+36010,-094169,+0384,999,22000,016093,-0056,-0056,10277
723445,93993,20160104,0953,+36010,-094169,+0384,999,22000,016093,-0072,-0078,10282
723445,93993,20160104,1053,+36010,-094169,+0384,350,22000,016093,-0067,-0072,10281
723445,93993,20160104,1153,+36010,-094169,+0384,360,22000,016093,-0050,-0056,10286
723445,93993,20160104,1253,+36010,-094169,+0384,999,22000,016093,-0050,-0056,10291
723445,93993,20160104,1314,+36010,-094169,+0384,999,22000,016093,-0050,-0056,99999
723445,93993,20160104,1353,+36010,-094169,+0384,040,22000,016093,-0050,-0056,10302
723445,93993,20160104,1400,+36010,-094169,+0384,040,00183,016093,-0050,-0056,99999
