USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
039620,99999,20120101,0000,+52700,-008917,+0020,220,22000,020000,+0102,+0076,10009
039620,99999,20120101,0030,+52700,-008917,+0020,220,22000,011265,+0100,+0070,99999
039620,99999,20120101,0100,+52700,-008917,+0020,240,22000,020000,+0101,+0060,10007
039620,99999,20120101,0130,+52700,-008917,+0020,220,22000,011265,+0090,+0060,99999
039620,99999,20120101,0200,+52700,-008917,+0020,220,03600,020000,+0096,+0067,10004
039620,99999,20120101,0230,+52700,-008917,+0020,230,22000,011265,+0100,+0060,99999
039620,99999,20120101,0300,+52700,-008917,+0020,220,01500,020000,+0094,+0065,09998
039620,99999,20120101,0330,+52700,-008917,+0020,240,22000,011265,+0090,+0070,99999
039620,99999,20120101,0400,+52700,-008917,+0020,220,22000,020000,+0091,+0066,09994
039620,99999,20120101,0430,+52700,-008917,+0020,240,22000,011265,+0090,+0070,99999
039620,99999,20120101,0500,+52700,-008917,+0020,210,22000,020000,+0085,+0066,09988
039620,99999,20120101,0530,+52700,-008917,+0020,250,00900,011265,+0090,+0060,99999
039620,99999,20120101,0600,+52700,-008917,+0020,250,00900,012000,+0080,+0062,09988
039620,99999,20120101,0630,+52700,-008917,+0020,220,22000,011265,+0080,+0060,99999
039620,99999,20120101,0700,+52700,-008917,+0020,210,00900,016000,+0080,+0061,09984
039620,99999,20120101,0730,+52700,-008917,+0020,220,22000,011265,+0080,+0050,99999
039620,99999,20120101,0800,+52700,-008917,+0020,220,22000,020000,+0077,+0052,09977
039620,99999,20120101,0830,+52700,-008917,+0020,240,22000,011265,+0070,+0050,99999
039620,99999,20120101,0900,+52700,-008917,+0020,220,03600,014000,+0072,+0056,09978
039620,99999,20120101,0930,+52700,-008917,+0020,220,22000,011265,+0070,+0050,99999
039620,99999,20120101,1000,+52700,-008917,+0020,230,22000,020000,+0074,+0050,09978
039620,99999,20120101,1030,+52700,-008917,+0020,220,22000,011265,+0080,+0050,99999
039620,99999,20120101,1100,+52700,-008917,+0020,220,22000,020000,+0073,+0049,09979
039620,99999,20120101,1130,+52700,-008917,+0020,220,22000,011265,+0080,+0050,99999
039620,99999,20120101,1200,+52700,-008917,+0020,220,22000,025000,+0077,+0049,09974
039620,99999,20120101,1230,+52700,-008917,+0020,230,22000,011265,+0080,+0050,99999
039620,99999,20120101,1300,+52700,-008917,+0020,240,22000,020000,+0081,+0041,09974
039620,99999,20120101,1330,+52700,-008917,+0020,230,22000,011265,+0080,+0050,99999
039620,99999,20120101,1400,+52700,-008917,+0020,230,02100,018000,+0072,+0046,09970
039620,99999,20120101,1430,+52700,-008917,+0020,250,22000,011265,+0070,+0040,99999
039620,99999,20120101,1500,+52700,-008917,+0020,230,01410,012000,+0071,+0045,09975
039620,99999,20120101,1530,+52700,-008917,+0020,240,22000,011265,+0060,+0030,99999
039620,99999,20120101,1600,+52700,-008917,+0020,250,00540,025000,+0061,+0033,09980
039620,99999,20120101,1630,+52700,-008917,+0020,240,22000,011265,+0050,+0030,99999
039620,99999,20120101,1700,+52700,-008917,+0020,220,02700,025000,+0054,+0025,09986
039620,99999,20120101,1730,+52700,-008917,+0020,260,22000,011265,+0050,+0020,99999
039620,99999,20120101,1800,+52700,-008917,+0020,230,22000,025000,+0049,+0029,09987
