USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
039620,99999,19880101,0000,+52700,-008917,+0020,220,00510,020000,+0085,+0064,09990
039620,99999,19880101,0030,+52700,-008917,+0020,240,00330,006000,+0090,+0070,99999
039620,99999,19880101,0100,+52700,-008917,+0020,200,00300,008000,+0083,+0070,09985
039620,99999,19880101,0130,+52700,-008917,+0020,210,00390,009000,+0090,+0070,99999
039620,99999,19880101,0200,+52700,-008917,+0020,200,00330,008000,+0085,+0068,09980
039620,99999,19880101,0230,+52700,-008917,+0020,200,00420,011200,+0080,+0070,99999
039620,99999,19880101,0300,+52700,-008917,+0020,190,00750,012000,+0085,+0075,09964
039620,99999,19880101,0330,+52700,-008917,+0020,190,00900,011200,+0090,+0080,99999
039620,99999,19880101,0400,+52700,-008917,+0020,170,00450,030000,+0091,+0077,09953
039620,99999,19880101,0500,+52700,-008917,+0020,200,00120,005000,+0097,+0085,09942
039620,99999,19880101,0530,+52700,-008917,+0020,230,00090,003000,+0100,+0100,99999
039620,99999,19880101,0600,+52700,-008917,+0020,240,00090,003000,+0111,+0103,09939
039620,99999,19880101,0630,+52700,-008917,+0020,240,00090,002500,+0110,+0110,99999
039620,99999,19880101,0700,+52700,-008917,+0020,250,00120,009000,+0112,+0104,09938
039620,99999,19880101,0730,+52700,-008917,+0020,240,00240,011200,+0110,+0110,99999
039620,99999,19880101,0800,+52700,-008917,+0020,240,00300,015000,+0113,+0105,09938
039620,99999,19880101,0830,+52700,-008917,+0020,240,00300,008000,+0120,+0110,99999
039620,99999,19880101,0900,+52700,-008917,+0020,240,00270,005000,+0113,+0107,09938
039620,99999,19880101,0930,+52700,-008917,+0020,240,00150,002500,+0110,+0110,99999
039620,99999,19880101,1000,+52700,-008917,+0020,240,00210,002800,+0113,+0109,09935
039620,99999,19880101,1030,+52700,-008917,+0020,240,00240,002800,+0110,+0110,99999
039620,99999,19880101,1100,+52700,-008917,+0020,240,00210,002800,+0115,+0111,09931
039620,99999,19880101,1200,+52700,-008917,+0020,240,00210,003000,+0119,+0112,09925
039620,99999,19880101,1230,+52700,-008917,+0020,240,00240,011200,+0120,+0110,99999
039620,99999,19880101,1300,+52700,-008917,+0020,240,00150,002400,+0118,+0111,09917
039620,99999,19880101,1330,+52700,-008917,+0020,230,00270,004000,+0120,+0110,99999
039620,99999,19880101,1400,+52700,-008917,+0020,240,00270,003000,+0126,+0115,09908
039620,99999,19880101,1430,+52700,-008917,+0020,240,00240,002600,+0120,+0110,99999
039620,99999,19880101,1500,+52700,-008917,+0020,240,00300,012000,+0120,+0116,09907
039620,99999,19880101,1600,+52700,-008917,+0020,240,00450,007000,+0122,+0111,09903
039620,99999,19880101,1630,+52700,-008917,+0020,240,00420,011200,+0120,+0110,99999
039620,99999,19880101,1700,+52700,-008917,+0020,230,00540,020000,+0126,+0109,09901
039620,99999,19880101,1730,+52700,-008917,+0020,230,00810,011200,+0120,+0110,99999
039620,99999,19880101,1800,+52700,-008917,+0020,230,00480,012000,+0126,+0103,09894
039620,99999,19880101,1830,+52700,-008917,+0020,260,00240,005000,+0110,+0090,99999
039620,99999,19880101,1900,+52700,-008917,+0020,230,00300,007000,+0100,+0086,09902
039620,99999,19880101,1930,+52700,-008917,+0020,230,01500,011200,+0100,+0080,99999
039620,99999,19880101,2000,+52700,-008917,+0020,230,01800,020000,+0101,+0078,09896
039620,99999,19880101,2030,+52700,-008917,+0020,240,01800,011200,+0100,+0070,99999
039620,99999,19880101,2100,+52700,-008917,+0020,240,01800,030000,+0100,+0066,09893
039620,99999,19880101,2130,+52700,-008917,+0020,230,01800,011200,+0100,+0070,99999
039620,99999,19880101,2200,+52700,-008917,+0020,220,03000,030000,+0098,+0068,09885
039620,99999,19880101,2230,+52700,-008917,+0020,220,01800,011200,+0100,+0070,99999
039620,99999,19880101,2300,+52700,-008917,+0020,220,01500,025000,+0102,+0070,09879
039620,99999,19880101,2330,+52700,-008917,+0020,220,00900,011200,+0100,+0080,99999
039620,99999,19880102,0000,+52700,-008917,+0020,220,01500,020000,+0104,+0081,09866
039620,99999,19880102,0030,+52700,-008917,+0020,220,01500,011200,+0110,+0080,99999
039620,99999,19880102,0100,+52700,-008917,+0020,220,02700,015000,+0105,+0083,09852
039620,99999,19880102,0130,+52700,-008917,+0020,230,01500,008000,+0100,+0070,99999
039620,99999,19880102,0200,+52700,-008917,+0020,210,00900,020000,+0099,+0071,09833
039620,99999,19880102,0230,+52700,-008917,+0020,220,01500,011200,+0100,+0070,99999
039620,99999,19880102,0300,+52700,-008917,+0020,230,01500,015000,+0102,+0077,09822
039620,99999,19880102,0330,+52700,-008917,+0020,220,02400,011200,+0100,+0080,99999
039620,99999,19880102,0400,+52700,-008917,+0020,230,02400,015000,+0096,+0075,09810
039620,99999,19880102,0430,+52700,-008917,+0020,240,00600,011200,+0080,+0060,99999
039620,99999,19880102,0500,+52700,-008917,+0020,230,00750,012000,+0083,+0059,09802
039620,99999,19880102,0530,+52700,-008917,+0020,230,00750,011200,+0080,+0050,99999
039620,99999,19880102,0600,+52700,-008917,+0020,230,00900,025000,+0079,+0040,09796
039620,99999,19880102,0630,+52700,-008917,+0020,230,00900,011200,+0080,+0040,99999
039620,99999,19880102,0700,+52700,-008917,+0020,220,22000,030000,+0070,+0042,09784
039620,99999,19880102,0730,+52700,-008917,+0020,230,22000,011200,+0070,+0040,99999
039620,99999,19880102,0800,+52700,-008917,+0020,220,00570,020000,+0072,+0044,09777
039620,99999,19880102,0830,+52700,-008917,+0020,230,00570,011200,+0060,+0040,99999
039620,99999,19880102,0900,+52700,-008917,+0020,230,00420,025000,+0069,+0039,09781
039620,99999,19880102,0930,+52700,-008917,+0020,230,01050,011200,+0070,+0040,99999
039620,99999,19880102,1000,+52700,-008917,+0020,230,22000,025000,+0073,+0033,09776
