USAF,WBAN,date,time,lat,long,ele,winddir,sky,visdist,airtemp,dewpointtemp,atmpress
039620,99999,19910101,0000,+52700,-008917,+0020,170,07500,030000,+0030,+0003,10093
039620,99999,19910101,0030,+52700,-008917,+0020,190,06000,011200,+0030,+0000,99999
039620,99999,19910101,0100,+52700,-008917,+0020,190,06000,030000,+0026,+0005,10097
039620,99999,19910101,0130,+52700,-008917,+0020,160,02700,011200,+0030,+0010,99999
039620,99999,19910101,0200,+52700,-008917,+0020,160,06000,030000,+0035,+0003,10084
039620,99999,19910101,0300,+52700,-008917,+0020,160,06000,030000,+0040,+0011,10075
039620,99999,19910101,0330,+52700,-008917,+0020,160,06000,011200,+0040,+0020,99999
039620,99999,19910101,0400,+52700,-008917,+0020,160,02700,030000,+0053,+0023,10056
039620,99999,19910101,0430,+52700,-008917,+0020,170,02700,011200,+0060,+0030,99999
039620,99999,19910101,0500,+52700,-008917,+0020,170,02400,020000,+0063,+0039,10044
039620,99999,19910101,0530,+52700,-008917,+0020,160,01800,011200,+0070,+0040,99999
039620,99999,19910101,0600,+52700,-008917,+0020,170,01800,020000,+0070,+0054,10026
039620,99999,19910101,0630,+52700,-008917,+0020,170,01800,011200,+0070,+0060,99999
039620,99999,19910101,0700,+52700,-008917,+0020,180,00840,020000,+0074,+0058,10012
039620,99999,19910101,0800,+52700,-008917,+0020,180,02400,025000,+0085,+0064,09991
039620,99999,19910101,0830,+52700,-008917,+0020,180,02700,011200,+0090,+0070,99999
039620,99999,19910101,0900,+52700,-008917,+0020,180,01500,040000,+0090,+0069,09969
039620,99999,19910101,0930,+52700,-008917,+0020,170,02700,011200,+0090,+0080,99999
039620,99999,19910101,1000,+52700,-008917,+0020,180,00630,025000,+0096,+0079,09953
039620,99999,19910101,1030,+52700,-008917,+0020,190,00630,011200,+0100,+0080,99999
039620,99999,19910101,1100,+52700,-008917,+0020,190,02400,020000,+0104,+0087,09932
039620,99999,19910101,1130,+52700,-008917,+0020,190,00600,011200,+0110,+0090,99999
039620,99999,19910101,1200,+52700,-008917,+0020,180,02400,015000,+0107,+0091,09903
039620,99999,19910101,1230,+52700,-008917,+0020,180,00660,008000,+0110,+0090,99999
039620,99999,19910101,1300,+52700,-008917,+0020,180,00600,008000,+0106,+0094,09873
039620,99999,19910101,1330,+52700,-008917,+0020,190,00480,011200,+0110,+0100,99999
039620,99999,19910101,1400,+52700,-008917,+0020,200,00480,008000,+0111,+0099,09858
039620,99999,19910101,1430,+52700,-008917,+0020,220,00420,008000,+0110,+0100,99999
039620,99999,19910101,1500,+52700,-008917,+0020,220,00480,020000,+0110,+0102,09851
039620,99999,19910101,1530,+52700,-008917,+0020,230,00330,006000,+0110,+0110,99999
039620,99999,19910101,1600,+52700,-008917,+0020,230,00420,012000,+0108,+0104,09849
039620,99999,19910101,1630,+52700,-008917,+0020,230,00390,011200,+0120,+0110,99999
039620,99999,19910101,1700,+52700,-008917,+0020,230,00330,020000,+0110,+0102,09844
